spp_num,Standardlength,Totallength,Depthatpec,Depthatanus,Pulsearea,Musclearea,Bodyarea,Cauddepth,Caudheight,Caudarea,Bodywidth,Interoctdistance,Eyediameter,Code,Spp,Tow_date,Tow_ID,Tow_num,Picture Date,Time Start-End,Notes,Measurements,Genus,Species,Survey.x,Preserve,Number,Location.x,...1,Survey.y,Location.y,Time,Sudo,Bodo,SuSal,BoSal,SuTemp,BoTemp,Tide,Depth,LatDeg,Latitude,LongDeg,LONGITUD,Secchi,SuPH,BoPH,Northing,Easting,UTM,Edit,year
11,74.4721,91.469,21.4779,11.8592,759.5112,481.7179,1123.2207,6.978,9.0781,144.518,0.36,0.8053,5.6818,00810,Micropogonias undulatus,1995-08-09,ICHP-95-0848,1,"June 6, 2022",0302-0332,NA,8.5,Micropogonias,undulatus,ICHPLAN,ETOH,16,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
12,5.7995,6.4099,1.4928,0.7626,4.3107,2.8103,5.9383,0.4992,0.8695,0.5141,0.352,0.7766,0.421,00811,Micropogonias undulatus,1995-08-09,ICHP-95-0849,2,"June 6, 2022",0334-0404,NA,7,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
13,7.1269,8.3815,2.069,0.9155,6.0609,3.7976,8.683,0.5508,0.7498,0.8865,0.3231,0.6711,0.5278,00812,Micropogonias undulatus,1995-08-09,ICHP-95-0849,2,"June 6, 2022",0334-0404,NA,8,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
14,4.9596,5.6585,1.2401,0.6017,3.0776,1.79,4.1018,0.3282,0.6571,0.4202,0.3395,0.6784,0.4191,00813,Micropogonias undulatus,1995-08-09,ICHP-95-0849,2,"June 6, 2022",0334-0404,NA,6,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
15,4.9327,5.8184,1.38,0.6605,3.2799,2.0141,4.5905,0.4057,0.7206,0.5401,0.2866,0.5911,0.4333,00814,Micropogonias undulatus,1995-08-09,ICHP-95-0849,2,"June 6, 2022",0334-0404,NA,6,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
16,9.4248,10.7935,2.4288,1.1145,8.5883,4.5681,14.6701,0.6799,1.1275,1.9348,0.632,0.7447,0.636,00815,Micropogonias undulatus,1995-08-09,ICHP-95-0849,2,"June 6, 2022",0334-0404,NA,11,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
17,7.3128,8.5887,2.0007,0.9343,7.4874,4.1629,9.8987,0.5537,1.2085,1.2444,0.3713,0.8238,0.5806,00816,Micropogonias undulatus,1995-08-09,ICHP-95-0849,2,"June 6, 2022",0334-0404,NA,8.5,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
18,7.5598,9.0851,1.9263,1.2669,7.4518,4.6162,10.0835,0.6299,1.0426,1.5336,0.3782,0.6344,0.4642,00817,Micropogonias undulatus,1995-08-09,ICHP-95-0849,2,"June 6, 2022",0334-0404,NA,9,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
19,6.8886,8.2395,2.0825,1.1479,6.8592,4.1314,9.9229,0.5696,0.9345,1.4564,0.4179,0.6009,0.5922,00818,Micropogonias undulatus,1995-08-09,ICHP-95-0849,2,"June 6, 2022",0334-0404,NA,8.5,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
20,8.7161,10.5962,2.4035,1.4098,10.3883,6.0698,15.3799,0.7415,1.0956,2.0927,0.4535,0.8344,0.7731,00819,Micropogonias undulatus,1995-08-09,ICHP-95-0849,2,"June 6, 2022",0334-0404,NA,10,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
21,6.9658,8.4285,1.9001,1.0776,6.8958,4.1797,9.4856,0.5701,0.9416,1.33,0.3905,0.691,0.519,00820,Micropogonias undulatus,1995-08-09,ICHP-95-0849,2,"June 6, 2022",0334-0404,NA,9,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
22,5.8065,6.6507,1.2249,0.4129,2.45,1.5398,4.8649,0.4306,0.8243,0.5796,0.4076,0.6494,0.4755,00821,Micropogonias undulatus,1995-08-09,ICHP-95-0849,2,"June 6, 2022",0334-0404,NA,7,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
23,6.2489,7.2776,1.5996,0.816,4.7344,2.895,7.242,0.4595,0.7439,0.7335,0.3823,0.6572,0.489,00822,Micropogonias undulatus,1995-08-09,ICHP-95-0854,3,"June 7, 2022",0405-0435,NA,7.5,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
24,4.497,5.3121,1.5096,0.7678,3.0157,1.7761,4.5971,0.3839,0.543,0.5079,0.3443,0.4683,0.4219,00823,Micropogonias undulatus,1995-08-09,ICHP-95-0854,3,"June 7, 2022",0405-0435,NA,6,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
25,9.1998,11.1283,2.7271,1.3903,11.1595,6.3013,18.9375,0.7658,1.1761,2.0469,0.539,1.0489,0.7331,00824,Micropogonias undulatus,1995-08-09,ICHP-95-0854,3,"June 7, 2022",0405-0435,NA,10,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
26,6.1835,7.3617,1.7699,0.9355,5.7968,3.3463,7.044,0.4898,0.7932,0.9089,0.503,0.7379,0.49370000000000003,00825,Micropogonias undulatus,1995-08-09,ICHP-95-0854,3,"June 7, 2022",0405-0435,NA,8,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
27,5.4362,6.5161,1.5677,0.8402,4.8591,2.8017,6.029,0.4863,0.8296,0.9924,0.3866,0.6458,0.4818,00826,Micropogonias undulatus,1995-08-09,ICHP-95-0854,3,"June 7, 2022",0405-0435,NA,7,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
28,8.4022,10.3683,2.505,1.3169,10.7532,6.2622,14.3071,0.7934,1.2133,1.8934,0.5716,0.8656,0.651,00827,Micropogonias undulatus,1995-08-09,ICHP-95-0854,3,"June 7, 2022",0405-0435,NA,10,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
29,43.5366,49.6919,14.2948,6.3427,245.5227,161.0873,413.055,2.9188,5.2727,32.3531,0.3298,0.3784,3.6997,00828,Micropogonias undulatus,1995-08-09,ICHP-95-0854,3,"June 7, 2022",0405-0435,NA,5,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
30,5.9252,6.9312,1.6649,0.8389,4.8651,2.8123,6.7194,0.4188,0.8615,0.951,0.3986,0.6212,0.4631,00829,Micropogonias undulatus,1995-08-09,ICHP-95-0854,3,"June 7, 2022",0405-0435,NA,7,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
31,6.6623,7.7168,1.7906,0.9537,6.6102,3.8202,8.5788,0.5781,0.8973,1.1432,0.386,0.7489,0.5911,00830,Micropogonias undulatus,1995-08-09,ICHP-95-0854,3,"June 7, 2022",0405-0435,No right eye,8,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
32,7.8236,9.2299,2.2208,1.1393,8.9347,4.9972,12.0537,0.5703,1.1758,1.4625,0.4383,0.733,0.5907,00831,Micropogonias undulatus,1995-08-09,ICHP-95-0854,3,"June 7, 2022",0405-0435,NA,8,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
33,5.9383,6.8026,1.6498,0.6798,4.7279,2.5703,5.9244,0.3549,0.854,0.7237,0.2798,0.5397,0.4285,00832,Micropogonias undulatus,1995-08-09,ICHP-95-0854,3,"June 7, 2022",0405-0435,NA,7,Micropogonias,undulatus,ICHPLAN,ETOH,68,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
34,10.4424,13.0137,2.8435,2.1876,15.9318,10.2012,21.6168,0.8947,1.1228,1.99,0.8013,1.0779,0.7671,00833,Micropogonias undulatus,1995-09-14,ICHP-95-0864,1,"June 7, 2022",2008-2038,NA,11.5,Micropogonias,undulatus,ICHPLAN,ETOH,33,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
35,12.1243,15.5852,3.3446,2.2792,23.8386,14.4012,29.9645,1.0294,1.8433,5.7093,0.7429,1.2354,0.8945,00834,Micropogonias undulatus,1995-09-14,ICHP-95-0864,1,"June 7, 2022",2008-2038,NA,13,Micropogonias,undulatus,ICHPLAN,ETOH,33,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
36,8.9952,10.7447,2.3711,1.6067,9.8048,6.8287,14.7498,0.6299,0.8551,1.1519,0.486,0.9299,0.4807,00835,Micropogonias undulatus,1995-09-14,ICHP-95-0864,1,"June 7, 2022",2008-2038,NA,9,Micropogonias,undulatus,ICHPLAN,ETOH,33,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
37,8.3884,10.6772,2.3528,1.6474,10.5721,7.1084,14.4398,0.7516,0.9622,1.8228,0.5872,0.9025,0.5724,00836,Micropogonias undulatus,1995-09-14,ICHP-95-0864,1,"June 7, 2022",2008-2038,NA,10.5,Micropogonias,undulatus,ICHPLAN,ETOH,33,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
38,9.3814,11.1139,2.4816,1.7482,12.8578,8.8008,17.0365,0.7694,1.1895,1.8474,0.4548,0.6376,0.5547,00837,Micropogonias undulatus,1995-09-14,ICHP-95-0864,1,"June 7, 2022",2008-2038,NA,9.5,Micropogonias,undulatus,ICHPLAN,ETOH,33,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
39,9.2649,11.2217,2.6237,1.7454,12.3429,8.5139,16.3965,0.8176,0.8975,1.6351,0.4221,0.5146,0.6454,00838,Micropogonias undulatus,1995-09-14,ICHP-95-0864,1,"June 7, 2022",2008-2038,NA,9,Micropogonias,undulatus,ICHPLAN,ETOH,33,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
40,6.5054,6.826,1.8033,1.2517,5.4666,4.1801,8.9135,0.5817,0.7945,0.2748,0.3003,0.5625,0.441,00839,Micropogonias undulatus,1995-09-14,ICHP-95-0864,1,"June 7, 2022",2008-2038,NA,6,Micropogonias,undulatus,ICHPLAN,ETOH,33,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
41,9.1244,10.5676,2.37,1.6562,12.4162,8.5761,15.8645,0.935,1.3316,1.9084,0.4687,0.8298,0.6123,00840,Micropogonias undulatus,1995-09-14,ICHP-95-0864,1,"June 7, 2022",2008-2038,NA,9,Micropogonias,undulatus,ICHPLAN,ETOH,33,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
42,9.7908,11.7637,2.482,1.8505,11.7381,7.9933,18.0565,0.9252,1.1064,2.0443,0.614,0.7121,0.5738,00841,Micropogonias undulatus,1995-09-14,ICHP-95-0864,1,"June 7, 2022",2008-2038,NA,10,Micropogonias,undulatus,ICHPLAN,ETOH,33,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
43,9.5893,11.667,2.4971,1.8867,12.657,8.1656,17.4629,0.888,1.3191,2.2395,0.5411,0.7551,0.652,00842,Micropogonias undulatus,1995-09-14,ICHP-95-0864,1,"June 7, 2022",2008-2038,NA,9.5,Micropogonias,undulatus,ICHPLAN,ETOH,33,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
44,10.5023,12.9107,2.748,2.0611,16.7146,10.7691,21.0132,0.8916,1.2892,2.6517,0.4278,0.6974,0.7894,00843,Micropogonias undulatus,1995-09-14,ICHP-95-0864,1,"June 7, 2022",2008-2038,NA,10,Micropogonias,undulatus,ICHPLAN,ETOH,33,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
45,8.4003,10.1798,2.3829,1.5257,10.7533,7.182,14.5185,0.822,0.9597,1.3346,0.3945,0.6371,0.6427,00844,Micropogonias undulatus,1995-09-14,ICHP-95-0865,2,"June 7, 2022",NA,NA,9,Micropogonias,undulatus,ICHPLAN,ETOH,80,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
46,6.3415,7.1047,1.5113,1.1188,4.678,3.53,7.1625,0.5308,0.7033,0.4919,0.486,0.614,0.4816,00845,Micropogonias undulatus,1995-09-14,ICHP-95-0865,2,"June 7, 2022",NA,NA,7.5,Micropogonias,undulatus,ICHPLAN,ETOH,80,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
47,10.3749,12.8277,2.8366,2.0742,14.7494,10.3396,22.4815,0.9072,1.2036,2.1986,0.7771,0.8077,0.7387,00846,Micropogonias undulatus,1995-09-14,ICHP-95-0865,2,"June 7, 2022",NA,NA,11,Micropogonias,undulatus,ICHPLAN,ETOH,80,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
48,4.6423,5.2856,1.444,1.054,3.4339,2.5106,5.0801,0.5283,0.6553,0.4166,0.4478,0.4523,0.473,00847,Micropogonias undulatus,1995-09-14,ICHP-95-0865,2,"June 7, 2022",NA,NA,5.5,Micropogonias,undulatus,ICHPLAN,ETOH,80,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
49,5.0493,5.7446,1.51,1.0012,3.3249,2.5635,5.5207,0.4643,0.4841,0.3504,0.3596,0.46,0.4179,00848,Micropogonias undulatus,1995-09-14,ICHP-95-0865,2,"June 7, 2022",NA,NA,6,Micropogonias,undulatus,ICHPLAN,ETOH,80,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
50,9.8903,11.9288,2.711,1.8134,12.4792,8.3533,19.3331,0.8454,1.1011,1.6843,0.5047,0.7578,0.629,00849,Micropogonias undulatus,1995-09-14,ICHP-95-0865,2,"June 7, 2022",NA,NA,10,Micropogonias,undulatus,ICHPLAN,ETOH,80,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
51,7.972,9.4827,2.1788,1.4088,8.4871,6.0266,12.3443,0.639,0.8697,0.9922,0.2969,0.5748,0.5309,00850,Micropogonias undulatus,1995-09-14,ICHP-95-0865,2,"June 7, 2022",NA,NA,8,Micropogonias,undulatus,ICHPLAN,ETOH,80,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
52,7.6138,9.0996,1.8722,1.2739,7.7969,5.4458,10.4424,0.6424,0.8722,1.1196,0.5285,0.81,0.4956,00851,Micropogonias undulatus,1995-09-14,ICHP-95-0865,2,"June 7, 2022",NA,NA,9.5,Micropogonias,undulatus,ICHPLAN,ETOH,80,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
53,10.2338,12.296,2.8105,2.0327,14.3718,10.4899,20.2102,0.8067,0.9687,1.602,0.5841,0.875,0.7126,00852,Micropogonias undulatus,1995-09-14,ICHP-95-0865,2,"June 7, 2022",NA,NA,10,Micropogonias,undulatus,ICHPLAN,ETOH,80,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
54,11.2148,13.0321,2.8363,1.9838,14.2323,9.7341,24.1859,0.884,1.147,1.7637,0.6961,1.0151,0.7581,00853,Micropogonias undulatus,1995-09-14,ICHP-95-0865,2,"June 7, 2022",NA,NA,11,Micropogonias,undulatus,ICHPLAN,ETOH,80,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
55,11.7934,14.6235,3.0412,2.1154,16.5422,10.5721,27.4061,0.9115,1.348,3.0196,0.791,0.9999,0.7572,00854,Micropogonias undulatus,1995-09-14,ICHP-95-0865,2,"June 7, 2022",NA,NA,13,Micropogonias,undulatus,ICHPLAN,ETOH,80,LSHCB,32,ICHPLAN,LSHCB,2008,NA,NA,31,NA,22,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
56,11.7985,14.951,3.3792,2.2848,20.0695,12.695,27.8743,1.0493,1.4628,3.3909,0.7635,1.0549,0.9311,00855,Micropogonias undulatus,1995-09-20,ICHP-95-0866,1,"June 7, 2022",0016-0046,NA,14,Micropogonias,undulatus,ICHPLAN,ETOH,61,LSHCB,33,ICHPLAN,LSHCB,16,NA,NA,32,NA,18,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
57,11.4514,14.3505,3.2621000000000002,2.4227,18.9183,11.9256,28.447,1.0255,1.4259,3.4489,0.7518,1.1957,0.7878,00856,Micropogonias undulatus,1995-09-20,ICHP-95-0866,1,"June 7, 2022",0016-0046,NA,12,Micropogonias,undulatus,ICHPLAN,ETOH,61,LSHCB,33,ICHPLAN,LSHCB,16,NA,NA,32,NA,18,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
58,10.4901,13.1848,3.0523,2.0671,16.119,9.8087,22.3301,1.0106,1.4961,3.5639,0.677,0.7876,0.7906,00857,Micropogonias undulatus,1995-09-20,ICHP-95-0866,1,"June 7, 2022",0016-0046,NA,11,Micropogonias,undulatus,ICHPLAN,ETOH,61,LSHCB,33,ICHPLAN,LSHCB,16,NA,NA,32,NA,18,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
